HYBAS_ID,MHT_TXT
1040008480,Tropical and Subtropical Coastal Rivers
1040009450,Tropical and Subtropical Coastal Rivers
1040011660,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041472390,Large Lakes
1041472430,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041431680,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041431480,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041438780,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041438860,Tropical and Subtropical Upland Rivers
1041473950,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041473880,Tropical and Subtropical Upland Rivers
1040011670,Tropical and Subtropical Coastal Rivers
1041576130,Temperate Upland Rivers
1041576090,Tropical and Subtropical Coastal Rivers
1041548760,Tropical and Subtropical Coastal Rivers
1040012680,Tropical and Subtropical Coastal Rivers
1040012690,Tropical and Subtropical Coastal Rivers
1040012810,Temperate Upland Rivers
1040012820,Montane Freshwaters
1040014500,Temperate Coastal Rivers
1040014920,Temperate Coastal Rivers
1040014930,Temperate Coastal Rivers
1040015030,Temperate Coastal Rivers
1041620260,Xeric Freshwaters and Endorheic Basins
1041620200,Xeric Freshwaters and Endorheic Basins
1041624310,Xeric Freshwaters and Endorheic Basins
1041629430,Temperate Upland Rivers
1041629370,Temperate Upland Rivers
1040015860,Xeric Freshwaters and Endorheic Basins
1040018120,Tropical and Subtropical Upland Rivers
1040019430,Tropical and Subtropical Coastal Rivers
1041174950,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041156960,Tropical and Subtropical Upland Rivers
1041259940,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041259950,Large Lakes
1040020570,Tropical and Subtropical Coastal Rivers
1040020580,Tropical and Subtropical Coastal Rivers
1040909890,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1040022430,Tropical and Subtropical Coastal Rivers
1040873640,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1040023310,Tropical and Subtropical Coastal Rivers
1040024080,Tropical and Subtropical Coastal Rivers
1040026800,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1040028960,Temperate Coastal Rivers
1040028970,Temperate Coastal Rivers
1040029430,Temperate Coastal Rivers
1040029700,Temperate Coastal Rivers
1040029710,Temperate Coastal Rivers
1040029810,Temperate Coastal Rivers
1040034260,Xeric Freshwaters and Endorheic Basins
1040601200,Montane Freshwaters
1040601190,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1040837890,Large Lakes
1040034270,Large River Deltas
1040034610,Tropical and Subtropical Coastal Rivers
1040034900,Tropical and Subtropical Coastal Rivers
1040035590,Xeric Freshwaters and Endorheic Basins
1040036860,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1040036870,Montane Freshwaters
1040040050,Oceanic Island
1040040200,Xeric Freshwaters and Endorheic Basins
1041533130,Xeric Freshwaters and Endorheic Basins
1041515680,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
1041515780,Xeric Freshwaters and Endorheic Basins
1041478080,Xeric Freshwaters and Endorheic Basins
1041477980,Tropical and Subtropical Upland Rivers
1040040240,Xeric Freshwaters and Endorheic Basins
1040040320,Xeric Freshwaters and Endorheic Basins
1040040340,Temperate Coastal Rivers
1040040520,Temperate Coastal Rivers
1040041020,Xeric Freshwaters and Endorheic Basins
8040000810,Temperate Coastal Rivers
8040000820,Temperate Coastal Rivers
8040002260,Temperate Coastal Rivers
8040002270,Polar Freshwaters
8040183760,Polar Freshwaters
8040176200,Polar Freshwaters
8040141480,Polar Freshwaters
8040219290,Polar Freshwaters
8040007180,Polar Freshwaters
8040007190,Polar Freshwaters
8040008390,Polar Freshwaters
8040009560,Polar Freshwaters
8040252760,Polar Freshwaters
8040307300,Temperate Floodplain Rivers and Wetlands
4040169400,Temperate Floodplain Rivers and Wetlands
4040095270,Temperate Upland Rivers
4040000890,Temperate Floodplain Rivers and Wetlands
4040003020,Temperate Coastal Rivers
4040005050,Temperate Coastal Rivers
4040005060,Temperate Coastal Rivers
4040007410,Temperate Floodplain Rivers and Wetlands
4040627620,Temperate Floodplain Rivers and Wetlands
4040773260,Temperate Floodplain Rivers and Wetlands
4040748300,Temperate Floodplain Rivers and Wetlands
4040783120,Montane Freshwaters
4040009890,Tropical and Subtropical Coastal Rivers
4040012290,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040012770,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040012780,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040012990,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040013000,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040015000,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040015010,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040015090,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4041144880,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4041144860,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4041128330,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4041108500,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4041108580,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4041043580,Tropical and Subtropical Upland Rivers
4040017030,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040018350,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040023060,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040023810,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040975160,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040960200,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040960480,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040839030,Tropical and Subtropical Upland Rivers
4040025460,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040027100,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040027780,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040027790,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040027940,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040027950,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040028760,Tropical and Subtropical Coastal Rivers
4040029530,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040031830,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
4040037060,Temperate Coastal Rivers
4040039450,Temperate Coastal Rivers
4040045780,Temperate Coastal Rivers
4040046100,Tropical and Subtropical Coastal Rivers
4040046370,Tropical and Subtropical Coastal Rivers
4040047500,Tropical and Subtropical Coastal Rivers
4040048900,Tropical and Subtropical Coastal Rivers
4040484760,Montane Freshwaters
4040545530,Montane Freshwaters
4040223160,Montane Freshwaters
4040234270,Montane Freshwaters
4040298550,Montane Freshwaters
4040050240,Temperate Upland Rivers
4040050300,Temperate Upland Rivers
5040000010,Tropical and Subtropical Coastal Rivers
5040007690,Tropical and Subtropical Coastal Rivers
5040011800,Oceanic Island
5040014020,Large Lakes
5040017040,Tropical and Subtropical Coastal Rivers
5040017830,Tropical and Subtropical Upland Rivers
5040022500,Tropical and Subtropical Coastal Rivers
5040031240,Tropical and Subtropical Coastal Rivers
5040038940,Large Lakes
5040041880,Tropical and Subtropical Coastal Rivers
5040049720,Tropical and Subtropical Coastal Rivers
5040055960,Temperate Coastal Rivers
5040056460,Xeric Freshwaters and Endorheic Basins
5040056470,Xeric Freshwaters and Endorheic Basins
5040056740,Xeric Freshwaters and Endorheic Basins
5040056750,Xeric Freshwaters and Endorheic Basins
5040057320,Xeric Freshwaters and Endorheic Basins
5040057330,Xeric Freshwaters and Endorheic Basins
5040057720,Xeric Freshwaters and Endorheic Basins
5040059440,Tropical and Subtropical Coastal Rivers
5040059450,Tropical and Subtropical Coastal Rivers
5040061660,Tropical and Subtropical Coastal Rivers
5040061670,Tropical and Subtropical Coastal Rivers
5040064130,Tropical and Subtropical Coastal Rivers
5040064140,Tropical and Subtropical Coastal Rivers
5040065600,Tropical and Subtropical Coastal Rivers
5040067860,Tropical and Subtropical Coastal Rivers
5040068450,Tropical and Subtropical Coastal Rivers
5040068460,Tropical and Subtropical Coastal Rivers
5040069590,Tropical and Subtropical Coastal Rivers
5040069600,Tropical and Subtropical Coastal Rivers
5040069960,Tropical and Subtropical Coastal Rivers
5040069970,Tropical and Subtropical Coastal Rivers
5040070700,Tropical and Subtropical Coastal Rivers
5040070710,Temperate Floodplain Rivers and Wetlands
5040073410,Temperate Floodplain Rivers and Wetlands
5040591050,Temperate Floodplain Rivers and Wetlands
5040591010,Temperate Floodplain Rivers and Wetlands
5040533450,Temperate Floodplain Rivers and Wetlands
5040533380,Temperate Floodplain Rivers and Wetlands
5040524870,Temperate Floodplain Rivers and Wetlands
5040511570,Temperate Floodplain Rivers and Wetlands
5040073420,Temperate Floodplain Rivers and Wetlands
5040076530,Temperate Coastal Rivers
5040076890,Temperate Coastal Rivers
5040077640,Temperate Coastal Rivers
5040082270,Temperate Coastal Rivers
5040085040,Temperate Coastal Rivers
5040491510,Xeric Freshwaters and Endorheic Basins
5040491370,Xeric Freshwaters and Endorheic Basins
5040087630,Temperate Floodplain Rivers and Wetlands
2040000010,Temperate Coastal Rivers
2040003550,Temperate Coastal Rivers
2040003560,Temperate Coastal Rivers
2040004130,Temperate Coastal Rivers
2040004140,Temperate Coastal Rivers
2040004280,Temperate Coastal Rivers
2040004290,Temperate Coastal Rivers
2040005120,Temperate Coastal Rivers
2040005130,Temperate Coastal Rivers
2040005690,Montane Freshwaters
2040491970,Temperate Floodplain Rivers and Wetlands
2040006600,Temperate Floodplain Rivers and Wetlands
2040007930,Temperate Floodplain Rivers and Wetlands
2040416390,Temperate Floodplain Rivers and Wetlands
2040400100,Temperate Floodplain Rivers and Wetlands
2040363700,Temperate Floodplain Rivers and Wetlands
2040007940,Temperate Floodplain Rivers and Wetlands
2040008490,Temperate Floodplain Rivers and Wetlands
2040543090,Temperate Floodplain Rivers and Wetlands
2040543160,Temperate Floodplain Rivers and Wetlands
2040555780,Temperate Floodplain Rivers and Wetlands
2040548500,Temperate Floodplain Rivers and Wetlands
2040539930,Temperate Floodplain Rivers and Wetlands
2040540100,Temperate Floodplain Rivers and Wetlands
2040008500,Temperate Floodplain Rivers and Wetlands
2040009230,Temperate Coastal Rivers
2040012730,Temperate Coastal Rivers
2040014550,Temperate Coastal Rivers
2040016230,Temperate Coastal Rivers
2040018240,Temperate Coastal Rivers
2040018360,Temperate Coastal Rivers
2040018370,Temperate Coastal Rivers
2040018460,Temperate Coastal Rivers
2040018470,Temperate Coastal Rivers
2040018840,Temperate Coastal Rivers
2040018850,Temperate Coastal Rivers
2040019150,Temperate Coastal Rivers
2040019160,Temperate Coastal Rivers
2040020320,Temperate Coastal Rivers
2040021030,Temperate Floodplain Rivers and Wetlands
2040021040,Temperate Floodplain Rivers and Wetlands
2040022150,Temperate Floodplain Rivers and Wetlands
2040022160,Temperate Floodplain Rivers and Wetlands
2040023010,Temperate Floodplain Rivers and Wetlands
2040023020,Temperate Floodplain Rivers and Wetlands
2040024170,Temperate Floodplain Rivers and Wetlands
2040024180,Temperate Floodplain Rivers and Wetlands
2040024230,Temperate Floodplain Rivers and Wetlands
2040026060,Temperate Floodplain Rivers and Wetlands
2040026070,Temperate Floodplain Rivers and Wetlands
2040026550,Temperate Floodplain Rivers and Wetlands
2040026560,Temperate Floodplain Rivers and Wetlands
2040026920,Temperate Floodplain Rivers and Wetlands
2040026930,Temperate Floodplain Rivers and Wetlands
2040027320,Temperate Floodplain Rivers and Wetlands
2040027330,Temperate Floodplain Rivers and Wetlands
2040028310,Large Lakes
2040028320,Polar Freshwaters
2040028660,Polar Freshwaters
2040028670,Polar Freshwaters
2040029940,Polar Freshwaters
2040029950,Polar Freshwaters
2040030060,Polar Freshwaters
2040030100,Polar Freshwaters
2040030110,Polar Freshwaters
2040031060,Polar Freshwaters
2040031070,Polar Freshwaters
2040031490,Polar Freshwaters
2040031500,Polar Freshwaters
2040033320,Polar Freshwaters
2040033330,Polar Freshwaters
2040033480,Polar Freshwaters
2040037990,Polar Freshwaters
2040039390,Polar Freshwaters
2040039400,Polar Freshwaters
2040039590,Polar Freshwaters
2040041120,Polar Freshwaters
2040041840,Polar Freshwaters
2040045150,Temperate Coastal Rivers
2040046500,Temperate Coastal Rivers
2040047500,Temperate Coastal Rivers
2040048590,Temperate Coastal Rivers
2040048790,Temperate Floodplain Rivers and Wetlands
2040054200,Temperate Coastal Rivers
2040056770,Polar Freshwaters
2040059370,Temperate Coastal Rivers
2040065840,Xeric Freshwaters and Endorheic Basins
2040065960,Xeric Freshwaters and Endorheic Basins
2040066030,Xeric Freshwaters and Endorheic Basins
2040067740,Temperate Floodplain Rivers and Wetlands
2040068680,Temperate Floodplain Rivers and Wetlands
2040309610,Temperate Floodplain Rivers and Wetlands
2040309560,Temperate Floodplain Rivers and Wetlands
2040292580,Temperate Floodplain Rivers and Wetlands
2040292690,Temperate Floodplain Rivers and Wetlands
2040288980,Temperate Floodplain Rivers and Wetlands
2040289120,Temperate Floodplain Rivers and Wetlands
2040315940,Temperate Floodplain Rivers and Wetlands
2040068720,Montane Freshwaters
2040069150,Montane Freshwaters
2040069160,Montane Freshwaters
2040070050,Montane Freshwaters
2040070060,Montane Freshwaters
2040070510,Xeric Freshwaters and Endorheic Basins
2040070520,Montane Freshwaters
2040071700,Xeric Freshwaters and Endorheic Basins
2040072590,Temperate Coastal Rivers
2040072920,Temperate Floodplain Rivers and Wetlands
2040072930,Temperate Floodplain Rivers and Wetlands
2040828790,Temperate Floodplain Rivers and Wetlands
2040816870,Temperate Floodplain Rivers and Wetlands
2040816320,Temperate Floodplain Rivers and Wetlands
2040785900,Temperate Floodplain Rivers and Wetlands
2040073580,Xeric Freshwaters and Endorheic Basins
2040075170,Xeric Freshwaters and Endorheic Basins
2040077470,Xeric Freshwaters and Endorheic Basins
2040077580,Xeric Freshwaters and Endorheic Basins
2040079320,Xeric Freshwaters and Endorheic Basins
2040081260,Xeric Freshwaters and Endorheic Basins
2040084130,Xeric Freshwaters and Endorheic Basins
2040085500,Temperate Upland Rivers
2040085590,Xeric Freshwaters and Endorheic Basins
2040085620,Xeric Freshwaters and Endorheic Basins
2040085630,Xeric Freshwaters and Endorheic Basins
2040085670,Xeric Freshwaters and Endorheic Basins
2040085690,Xeric Freshwaters and Endorheic Basins
2040085700,Xeric Freshwaters and Endorheic Basins
2040085710,Xeric Freshwaters and Endorheic Basins
2040085720,Xeric Freshwaters and Endorheic Basins
2040085730,Xeric Freshwaters and Endorheic Basins
2040085930,Temperate Floodplain Rivers and Wetlands
2040085960,Xeric Freshwaters and Endorheic Basins
2040085990,Xeric Freshwaters and Endorheic Basins
7040000010,Tropical and Subtropical Coastal Rivers
7040005410,Tropical and Subtropical Coastal Rivers
7040005420,Tropical and Subtropical Coastal Rivers
7040006390,Tropical and Subtropical Coastal Rivers
7040006400,Tropical and Subtropical Coastal Rivers
7040007380,Tropical and Subtropical Coastal Rivers
7040007390,Xeric Freshwaters and Endorheic Basins
7040007830,Xeric Freshwaters and Endorheic Basins
7040007840,Xeric Freshwaters and Endorheic Basins
7040707810,Xeric Freshwaters and Endorheic Basins
7040707710,Xeric Freshwaters and Endorheic Basins
7040632220,Xeric Freshwaters and Endorheic Basins
7040608130,Xeric Freshwaters and Endorheic Basins
7040607990,Xeric Freshwaters and Endorheic Basins
7040585120,Xeric Freshwaters and Endorheic Basins
7040585110,Xeric Freshwaters and Endorheic Basins
7040008720,Xeric Freshwaters and Endorheic Basins
7040013170,Temperate Coastal Rivers
7040013180,Temperate Coastal Rivers
7040013550,Temperate Coastal Rivers
7040013560,Temperate Coastal Rivers
7040014040,Temperate Coastal Rivers
7040014050,Temperate Coastal Rivers
7040014200,Temperate Coastal Rivers
7040014210,Temperate Coastal Rivers
7040014250,Temperate Coastal Rivers
7040014930,Temperate Floodplain Rivers and Wetlands
7040394690,Temperate Floodplain Rivers and Wetlands
7040394680,Temperate Floodplain Rivers and Wetlands
7040395190,Temperate Floodplain Rivers and Wetlands
7040395340,Temperate Floodplain Rivers and Wetlands
7040379430,Temperate Upland Rivers
7040379310,Temperate Floodplain Rivers and Wetlands
7040388580,Temperate Floodplain Rivers and Wetlands
7040388740,Temperate Upland Rivers
7040014940,Temperate Coastal Rivers
7040016260,Temperate Coastal Rivers
7040016270,Temperate Coastal Rivers
7040019010,Temperate Coastal Rivers
7040019200,Temperate Coastal Rivers
7040020100,Temperate Coastal Rivers
7040021740,Polar Freshwaters
7040192420,Large Lakes
7040192560,Large Lakes
7040194860,Temperate Upland Rivers
7040194980,Temperate Upland Rivers
7040282770,Temperate Upland Rivers
7040282720,Temperate Upland Rivers
7040024300,Temperate Coastal Rivers
7040024580,Temperate Coastal Rivers
7040024600,Temperate Coastal Rivers
7040024830,Temperate Coastal Rivers
7040033480,Temperate Coastal Rivers
7040034520,Temperate Coastal Rivers
7040374800,Temperate Coastal Rivers
7040374950,Temperate Coastal Rivers
7040402320,Temperate Coastal Rivers
7040402430,Large Lakes
7040426310,Large Lakes
7040426320,Large Lakes
7040392650,Large Lakes
7040392520,Large Lakes
7040034530,Temperate Coastal Rivers
7040038340,Temperate Coastal Rivers
7040039620,Temperate Coastal Rivers
7040039630,Temperate Coastal Rivers
7040039870,Temperate Coastal Rivers
7040039880,Temperate Coastal Rivers
7040041050,Temperate Coastal Rivers
7040041060,Temperate Coastal Rivers
7040041400,Temperate Coastal Rivers
7040041410,Temperate Coastal Rivers
7040042040,Temperate Coastal Rivers
7040043090,Temperate Coastal Rivers
7040043100,Temperate Coastal Rivers
7040043160,Temperate Coastal Rivers
7040043170,Tropical and Subtropical Coastal Rivers
7040045890,Temperate Floodplain Rivers and Wetlands
7040045900,Temperate Coastal Rivers
7040046590,Temperate Floodplain Rivers and Wetlands
7040046600,Temperate Floodplain Rivers and Wetlands
7040046750,Temperate Floodplain Rivers and Wetlands
7040047060,Temperate Floodplain Rivers and Wetlands
7040741770,Temperate Floodplain Rivers and Wetlands
7040741760,Temperate Upland Rivers
7040686540,Temperate Upland Rivers
7040686450,Temperate Upland Rivers
7040612840,Temperate Floodplain Rivers and Wetlands
7040612640,Temperate Upland Rivers
7040569640,Temperate Upland Rivers
7040569650,Temperate Floodplain Rivers and Wetlands
7040047070,Temperate Floodplain Rivers and Wetlands
7040047850,Temperate Coastal Rivers
7040047860,Temperate Coastal Rivers
7040047970,Temperate Coastal Rivers
7040047980,Temperate Coastal Rivers
7040048300,Temperate Coastal Rivers
7040048310,Temperate Coastal Rivers
7040048410,Temperate Coastal Rivers
7040048420,Tropical and Subtropical Coastal Rivers
7040049270,Xeric Freshwaters and Endorheic Basins
7040049280,Temperate Floodplain Rivers and Wetlands
7040049990,Xeric Freshwaters and Endorheic Basins
7040050000,Tropical and Subtropical Coastal Rivers
7040050640,Tropical and Subtropical Coastal Rivers
7040050650,Tropical and Subtropical Coastal Rivers
7040050920,Tropical and Subtropical Upland Rivers
7040050930,Tropical and Subtropical Coastal Rivers
7040054660,Tropical and Subtropical Coastal Rivers
7040054670,Tropical and Subtropical Coastal Rivers
7040059990,Temperate Coastal Rivers
7040064730,Temperate Coastal Rivers
7040065760,Tropical and Subtropical Coastal Rivers
7040070790,Tropical and Subtropical Coastal Rivers
7040072800,Tropical and Subtropical Coastal Rivers
7040073620,Xeric Freshwaters and Endorheic Basins
7040073630,Xeric Freshwaters and Endorheic Basins
7040073660,Xeric Freshwaters and Endorheic Basins
7040073690,Xeric Freshwaters and Endorheic Basins
7040073710,Xeric Freshwaters and Endorheic Basins
7040073720,Xeric Freshwaters and Endorheic Basins
7040073780,Xeric Freshwaters and Endorheic Basins
7040073830,Xeric Freshwaters and Endorheic Basins
7040073870,Xeric Freshwaters and Endorheic Basins
6040000010,Tropical and Subtropical Upland Rivers
6040000740,Tropical and Subtropical Upland Rivers
6040000750,Montane Freshwaters
6040075390,Tropical and Subtropical Upland Rivers
6040075410,Tropical and Subtropical Upland Rivers
6040084750,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040102250,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040102330,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040005190,Tropical and Subtropical Upland Rivers
6040005490,Tropical and Subtropical Upland Rivers
6040005500,Tropical and Subtropical Upland Rivers
6040239720,Tropical and Subtropical Upland Rivers
6040239820,Tropical and Subtropical Upland Rivers
6040262220,Tropical and Subtropical Upland Rivers
6040262110,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040285930,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040285990,Tropical and Subtropical Upland Rivers
6040280410,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040280400,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040007010,Large River Deltas
6040345000,Tropical and Subtropical Upland Rivers
6040527670,Tropical and Subtropical Upland Rivers
6040527680,Tropical and Subtropical Upland Rivers
6040007960,Large River Deltas
6040008320,Large River Deltas
6040009770,Tropical and Subtropical Coastal Rivers
6040012800,Tropical and Subtropical Coastal Rivers
6040013420,Tropical and Subtropical Coastal Rivers
6040013430,Tropical and Subtropical Coastal Rivers
6040013750,Tropical and Subtropical Coastal Rivers
6040013760,Tropical and Subtropical Coastal Rivers
6040014330,Tropical and Subtropical Coastal Rivers
6040015940,Temperate Coastal Rivers
6040015950,Temperate Floodplain Rivers and Wetlands
6040016720,Tropical and Subtropical Upland Rivers
6040016760,Tropical and Subtropical Upland Rivers
6040016970,Temperate Floodplain Rivers and Wetlands
6040870380,Temperate Floodplain Rivers and Wetlands
6040870370,Temperate Floodplain Rivers and Wetlands
6040814820,Tropical and Subtropical Floodplain Rivers and Wetland Complexes
6040814830,Tropical and Subtropical Upland Rivers
6040752460,Tropical and Subtropical Upland Rivers
6040752470,Tropical and Subtropical Upland Rivers
6040709820,Tropical and Subtropical Upland Rivers
6040016980,Temperate Floodplain Rivers and Wetlands
6040019090,Temperate Coastal Rivers
6040025130,Temperate Coastal Rivers
6040025140,Temperate Coastal Rivers
6040025420,Temperate Coastal Rivers
6040026140,Temperate Coastal Rivers
6040026990,Temperate Coastal Rivers
6040029280,Montane Freshwaters
6040032290,Tropical and Subtropical Coastal Rivers
6040034810,Tropical and Subtropical Coastal Rivers
6040040460,Xeric Freshwaters and Endorheic Basins
3040386960,Polar Freshwaters
3040481930,Polar Freshwaters
3040496490,Polar Freshwaters
3040483880,Polar Freshwaters
3040679750,Large Lakes
3040679760,Large Lakes
3040024310,Montane Freshwaters
