,MHT_TXT,mean_TDq0,se_TDq0,mean_TDq1,se_TDq1,mean_FDq0,se_FDq0,mean_FDq1,se_FDq1
1,Large Lakes,65.27967068,8.557756766,31.52141835,3.943834558,8.031483414,0.924452754,4.317598107,0.445649524
2,Montane Freshwaters,38.24207936,4.645898569,21.75410072,2.321599825,5.405951998,0.567429455,3.471588344,0.310862684
3,Polar Freshwaters,65.87859954,4.652241265,37.63616653,2.560457101,9.77327789,0.454810495,6.516725964,0.371185102
4,Temperate Coastal Rivers,60.58299409,3.0789796,30.81997385,1.50258872,7.743829349,0.315852578,4.225244556,0.169097845
5,Temperate Floodplain Rivers and Wetlands,61.59292468,3.69353912,32.0243742,1.757037171,8.038694632,0.37149706,4.507264229,0.198199636
6,Temperate Upland Rivers,64.45986409,9.495649187,34.41805067,4.554991652,7.560217037,0.920515006,4.581576395,0.470923238
7,Tropical and Subtropical Coastal Rivers,45.63606907,2.343476053,27.15833083,1.26674908,4.423446443,0.207263208,3.056694404,0.103061301
8,Tropical and Subtropical Floodplain Rivers and Wetland Complexes,56.54888834,5.036276053,33.55299985,2.847033101,4.757989572,0.306646924,3.350425019,0.152206877
9,Tropical and Subtropical Upland Rivers,54.9878807,5.160365908,34.44697844,2.901155031,5.706059368,0.401498308,3.736043196,0.206998899
10,Xeric Freshwaters and Endorheic Basins,38.62978113,3.445729366,21.30260205,1.694649499,5.124203219,0.332796805,3.360999916,0.171199378
